id,name,country,pass,sot,ts,x,y,shirt,side
385166,Altay Bayındır,1,80,0,0,12,50,1,home
252181,Luan Peres,36,86,0,1,32,24,28,home
361155,Attila Szalai,21,87,0,0,32,50,41,home
122002,Gustavo Henrique,36,82,0,0,32,76,2,home
436503,Ferdi Kadıoğlu,1,87,0,1,62,87,7,home
90697,Ezgjan Alioski,54,75,0,1,62,13,6,home
166876,İrfan Can Kahveci,1,83,0,1,50,65,17,home
425202,Miguel Crespo,13,88,1,3,50,35,27,home
122232,Willian Arao,36,93,1,2,65,50,5,home
51973,Joao Pedro,10,50,1,2,90,65,20,home
56924,Joshua King,12,94,1,4,90,35,15,home
386945,Bright Osayi-Samuel,17,92,0,0,0,100,21,home
620781,Arda Güler,1,100,0,0,0,100,10,home
233747,Mert Hakan Yandaş,1,76,0,1,0,100,8,home
381687,Lincoln,36,100,0,0,0,100,18,home
389164,Diego Rossi,66,88,0,1,0,100,9,home
